股票代码,股票简称,年份,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),所处行业
603808,歌力思,2018,0.24,339550851.97,60311870.05,3.41,88.3665918926,7.234480308629,0.250261682867,72.7023355081,-24.3638,纺织服装
603808,歌力思,2019,0.24,574801431.76,80324368.78,3.8,69.2828713064,6.408606108773,0.394130015993,67.05106897,-14.6792,纺织服装
603808,歌力思,2020,0.26,622619618.05,89163226.9,3.77,8.3190791894,7.203674452601,0.27848874,64.8226524076,-11.0426,纺织服装
603808,歌力思,2021,0.73,410223540.67,243650019.23,12.25,-34.1132966618,6.340153995624,0.130848104805,66.5110273838,-43.621,纺织服装
603808,歌力思,2022,0.28,535778062.96,93563068.3,4.12,30.6063669786,6.979669042336,0.299418973926,69.4194403584,-12.9895,纺织服装
603808,歌力思,2023,0.13,627955236.37,47093075.82,1.63,17.2043575097,7.863879360577,0.188716480002,62.2515626941,-8.99,纺织服装
603809,豪能股份,2018,0.4459,172471377.37,35671087.89,4.46,0,0,0,38.2794678089,-3.2929,汽车零部件
603809,豪能股份,2019,0.4385,248568019.53,46775411.68,3.1,44.1213164297,14.368747195181,0.117192741164,34.5124921026,-4.1018,汽车零部件
603809,豪能股份,2020,0.1837,248713209.59,38409239.78,2.46,0.0584105953,10.57103686021,0.358889565214,28.7002878245,-0.8611,汽车零部件
603809,豪能股份,2021,0.1907,215528764.43,39870804.09,2.48,-13.3424538305,7.734094669379,0.438210124205,34.0520220371,-23.4265,汽车零部件
603809,豪能股份,2022,0.2265,365918569,66308028.96,3.74,69.7771385493,8.390253315627,0.29058379418,38.672816749,-3.0614,汽车零部件
603809,豪能股份,2023,0.2124,409194318.72,81961589.57,4.34,11.8266066241,6.367850912293,-0.089974248589,39.0627713772,7.8385,汽车零部件
603810,丰山集团,2019,0.51,314137154.15,30503401.75,5.43,0,0,0,26.1731781338,7.8766,农药兽药
603810,丰山集团,2020,0.76,364131974.88,53243530.58,4.69,15.9149658261,14.531811267875,0.232225853,29.6128577408,19.1248,农药兽药
603810,丰山集团,2021,1.01,450623121.84,84120583.2,7.35,23.7526921355,14.324603067647,0.867129216915,33.1575427998,230.5134,农药兽药
603810,丰山集团,2022,0.31,454318728.7,50375579.42,3.69,0.8201103496,11.968245016157,-0.408570744948,22.4714135629,15.3211,农药兽药
603810,丰山集团,2023,0.19,441406976.76,30534902.58,2.13,-2.842003009,8.941568144206,-0.724119754073,17.85263803,22.3778,农药兽药
603811,诚意药业,2017,0.18,70666225.37,11454441.52,4.31,0,0,0,56.6935095517,0,化学制药
